label,path,time,current_time
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-55.wav,10.0,550.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-56.wav,10.0,560.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-57.wav,10.0,570.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-58.wav,10.0,580.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-59.wav,10.0,590.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-60.wav,10.0,600.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-61.wav,10.0,610.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-62.wav,10.0,620.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-63.wav,10.0,630.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-64.wav,10.0,640.0
angry-愤怒,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-65.wav,10.0,650.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-66.wav,10.0,660.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-67.wav,10.0,670.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-68.wav,10.0,680.0
disgust-厌恶蔑视,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-69.wav,10.0,690.0
angry-愤怒,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-70.wav,10.0,700.0
angry-愤怒,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-71.wav,10.0,710.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-72.wav,10.0,720.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-73.wav,10.0,730.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-74.wav,10.0,740.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-75.wav,10.0,750.0
angry-愤怒,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-76.wav,10.0,760.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-77.wav,10.0,770.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-78.wav,10.0,780.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-79.wav,10.0,790.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-80.wav,10.0,800.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-81.wav,10.0,810.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-82.wav,10.0,820.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-83.wav,10.0,830.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-84.wav,10.0,840.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-85.wav,10.0,850.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-86.wav,10.0,860.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-87.wav,10.0,870.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-88.wav,10.0,880.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-89.wav,10.0,890.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-90.wav,10.0,900.0
disgust-厌恶蔑视,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-91.wav,10.0,910.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-92.wav,10.0,920.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-93.wav,10.0,930.0
disgust-厌恶蔑视,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-94.wav,10.0,940.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-95.wav,10.0,950.0
